_link_main,_link,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis,com_istat_code
67,67.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008001
67,67.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008001
67,67.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008001
67,67.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008001
67,67.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008001
67,67.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008001
67,67.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008001
67,67.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008001
67,67.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008001
68,68.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008002
68,68.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008002
68,68.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008002
68,68.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008002
68,68.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008002
68,68.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008002
68,68.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008002
68,68.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008002
68,68.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008002
69,69.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,82,94.25,82,94.25,008003
69,69.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,4,4.60,4,4.60,008003
69,69.cand.2,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,1.15,1,1.15,008003
69,69.cand.3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008003
69,69.cand.4,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008003
69,69.cand.5,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008003
69,69.cand.6,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008003
69,69.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008003
69,69.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008003
70,70.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,38,76.00,38,76.00,008004
70,70.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,10,20.00,10,20.00,008004
70,70.cand.2,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,2,4.00,2,4.00,008004
70,70.cand.3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008004
70,70.cand.4,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008004
70,70.cand.5,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008004
70,70.cand.6,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008004
70,70.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008004
70,70.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008004
71,71.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,104,66.67,104,69.80,008005
71,71.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,47,30.13,41,27.52,008005
71,71.cand.2,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,1.92,3,2.01,008005
71,71.cand.3,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.64,1,0.67,008005
71,71.cand.4,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.64,0,0,008005
71,71.cand.5,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008005
71,71.cand.6,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008005
71,71.cand.7,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008005
71,71.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008005
72,72.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008006
72,72.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008006
72,72.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008006
72,72.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008006
72,72.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008006
72,72.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008006
72,72.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008006
72,72.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008006
72,72.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008006
73,73.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008007
73,73.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008007
73,73.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008007
73,73.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008007
73,73.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008007
73,73.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008007
73,73.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008007
73,73.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008007
73,73.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008007
74,74.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008008
74,74.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008008
74,74.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008008
74,74.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008008
74,74.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008008
74,74.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008008
74,74.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008008
74,74.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008008
74,74.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008008
75,75.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,83,69.17,82,69.49,008009
75,75.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,34,28.33,33,27.97,008009
75,75.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,1.67,2,1.69,008009
75,75.cand.3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.83,1,0.85,008009
75,75.cand.4,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008009
75,75.cand.5,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008009
75,75.cand.6,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008009
75,75.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008009
75,75.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008009
76,76.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,178,74.17,167,73.57,008010
76,76.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,53,22.08,53,23.35,008010
76,76.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,3,1.25,3,1.32,008010
76,76.cand.3,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,1.25,2,0.88,008010
76,76.cand.4,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,2,0.83,1,0.44,008010
76,76.cand.5,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.42,1,0.44,008010
76,76.cand.6,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008010
76,76.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008010
76,76.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008010
